premise	hypothesis	label	case	cue	common_cue	lexical_overlap	method	negated_scope
We never saw the hound .	We saw the hound .	contradiction	b: cue-removed	never	True	True	nep	True
It was certain that I could not help with those .	I could help with those	contradiction	a: within scope.	not	True	True	nep	True
The farther wall of the orchard was already invisible , and the trees were standing out of a swirl of white vapour .	the trees were standing out of a swirl of white vapour	entailment	c: a S clause	in-	False	True	nep	False
""" Then you use me , and yet do not trust me ! "" I cried with some bitterness ."	you do trust me	contradiction	a: within scope.	not	True	True	nep	True
"During an observation in 1909 by Flammarion with a 84 cm telescope , irregular patterns were observed , but no "" canali "" were seen ."	"During an observation in 1909 by Flammarion with a 84 cm telescope , irregular patterns were observed , but no ` ` canali "" were seen ."	entailment	c: a S clause	no	True	True	nep	False
""" Well , sir , I thought no more of the matter , and never would have done had it not been for my wife ."	` ` Well , sir , I thought no more of the matter , and would have done had it not been for my wife .	contradiction	b: cue-removed	never	True	True	nep	True
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	I should leave you	contradiction	a: within scope.	not	True	True	nep	True
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	observers can outrun this timeless image	contradiction	a: within scope.	never	True	True	nep	True
"What they would have done had it not been a mistake , we can only conjecture . """	it not been a mistake	entailment	c: a S clause	not	True	True	nep	False
"He hardly speaks a word of English , and we can get nothing out of him but grunts . """	He hardly speaks a word of English	entailment	c: a S clause	nothing	False	True	nep	False
It had wandered on to the moor and had never come back .	It had wandered on to the moor and had come back .	contradiction	b: cue-removed	never	True	True	nep	True
Archaeologists study every civilization that is known , especially the ones where there is no written history .	Archaeologists study every civilization that is kwn , especially the ones where there is written history .	contradiction	b: cue-removed	no	True	True	nep	True
Nobody notices that they are gone , so their families miss them just the next morning .	Nobody notices that they are gone , so their families miss them just the next morning .	contradiction	b: cue-removed	nobody	False	True	nep	True
""" I can not make the man out ."	I can make the man out	contradiction	a: within scope.	not	True	True	nep	True
Nudity in public places is rare , and people generally do not expect it .	Nudity in public places is rare , and people generally do expect it .	contradiction	b: cue-removed	not	True	True	nep	True
