sent_1	positive_1	subsequence_1	sent_2	positive_2	subsequence_2	label
Nudity in public places is rare , and people generally do expect it .	True	True	No one helped him with the harvest	True	True	neutral
In Europe this cheese is usually treated chemically	True	True	the Russian Orthodox Church did want them to be married	True	True	neutral
people could see it	True	True	Mallory and Irvine made it to the summit before dying	True	True	neutral
He could tell her that he loved her	True	True	No one helped him with the harvest , one worked in his stables or his house .	True	True	neutral
he loved her	True	True	the British destroy his army	True	True	neutral
All these elements are gases that have colour and smell .	True	True	To this day , one is sure whether or t Mallory and Irvine made it to the summit before dying , 29 years before the next climbers would reach the summit .	True	True	neutral
Because it is not considered to belong to some country at the moment , the city has embassies	True	True	one helped him with the harvest	True	True	neutral
more than half have more than three letters	True	True	he loved her	True	True	neutral
there is evidence Saddam had some ties	True	True	them to be married	True	True	neutral
A list of the 50 most common words in English has words longer than six letters , and more than half have more than three letters .	True	True	people could see it	True	True	neutral
He could tell her that he loved her , and now she was dead .	True	True	It does matter to them , because they swallow the fish whole , without chewing	True	True	neutral
All these elements are gases that have colour and smell .	True	True	the British destroy his army	True	True	neutral
A list of the 50 most common words in English has words longer than six letters	True	True	A glacier forms because the snow in an area does all melt in summer .	True	True	neutral
The ancient Greek philosopher Epicurus said that people feel the most pleasure possible when they have suffering .	True	True	one is sure whether or not Mallory and Irvine made it to the summit before dying	True	True	neutral
people feel the most pleasure possible when they have suffering	True	True	Archaeologists study every civilization that is kwn , especially the ones where there is written history .	True	True	neutral
Aher change is that some new letters were invented for sounds in Greek but in the Phoenician language .	True	True	All these elements are gases that have colour and smell .	True	True	neutral
Picasso had said that the painting should return to Spain until it was a democracy again .	True	True	They are different from earthquakes followed by a series of aftershocks by the fact that single earthquake in the sequence is obviously the main shock , therefore ne have table higher magnitudes than the other .	True	True	neutral
That has been proven	True	True	the painting should return to Spain until it was a democracy again	True	True	neutral
No one helped him with the harvest , one worked in his stables or his house .	True	True	North Korea was formally allied with	True	True	neutral
A list of the 50 most common words in English has words longer than six letters , and more than half have more than three letters .	True	True	that have colour	True	True	neutral
Overall , Washington did win many battles	True	True	Also , he moved Stalin 's grave to a place where people could see it .	True	True	neutral
more than half have more than three letters	True	True	it was a democracy again	True	True	neutral
Afterwards , North Korea was friendly with China and Russia but was formally allied with and became more isolated over time .	True	True	This sequence ends	True	True	neutral
Corrosion can occur without oxygen .	True	True	He could tell her that he loved her	True	True	neutral
that have smell	True	True	they have suffering	True	True	neutral
They are different from earthquakes followed by a series of aftershocks by the fact that single earthquake in the sequence is obviously the main shock , therefore ne have table higher magnitudes than the other .	True	True	Because it is t considered to belong to some country at the moment , the city has embassies .	True	True	neutral
he let the British destroy his army	True	True	Pluto taught many kids lessons such as sharing , to have jealousy , and many others .	True	True	neutral
it is not considered to belong to some country at the moment	True	True	people feel the most pleasure possible when they have suffering	True	True	neutral
he let the British destroy his army	True	True	more than half have more than three letters	True	True	neutral
they swallow the fish whole , without chewing	True	True	Britten ’s homosexuality which was something that was discussed in his lifetime may have something to do with this .	True	True	neutral
This sequence ends	True	True	That has been proven and there is no evidence Saddam ever had any ties .	True	True	neutral
No one helped him with the harvest	True	True	Overall , Washington did not win many battles , but he let the British destroy his army .	True	True	neutral
"` ` An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , ` ` "" Do what you want to do , but do harm anything in the process "" ."	True	True	one worked in his stables or his house	True	True	neutral
people generally do expect it	True	True	A list of the 50 most common words in English has words longer than six letters , and more than half have more than three letters .	True	True	neutral
