premise	hypothesis	label	case
Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those not infrequent occasions when he was up all night , was seated at the breakfast table .	he was up all night	contradiction	a: within scope.
Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those not infrequent occasions when he was up all night , was seated at the breakfast table .	Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those infrequent occasions when he was up all night , was seated at the breakfast table .	contradiction	b: cue-removed
Holmes was sitting with his back to me , and I had given him no sign of my occupation .	I had given him sign of my occupation	contradiction	a: within scope.
Holmes was sitting with his back to me , and I had given him no sign of my occupation .	Holmes was sitting with his back to me , and I had given him sign of my occupation .	contradiction	b: cue-removed
Holmes was sitting with his back to me , and I had given him no sign of my occupation .	Holmes was sitting with his back to me	entailment	c: a S clause
Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	we have notion of his errand	contradiction	a: within scope.
Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	Since we have been so unfortunate as to miss him and have tion of his errand , this accidental souvenir becomes of importance .	contradiction	b: cue-removed
Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	we have been so unfortunate as to miss him and have tion of his errand	contradiction	b: cue-removed
It may be that you are not yourself luminous , but you are a conductor of light .	you are yourself luminous	contradiction	a: within scope.
It may be that you are not yourself luminous , but you are a conductor of light .	It may be that you are yourself luminous , but you are a conductor of light .	contradiction	b: cue-removed
It may be that you are not yourself luminous , but you are a conductor of light .	It may be that you are yourself luminous	contradiction	b: cue-removed
It may be that you are not yourself luminous , but you are a conductor of light .	you are a conductor of light	entailment	c: a S clause
He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	He had said as much before	contradiction	a: within scope.
He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	He had said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	contradiction	b: cue-removed
He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods	entailment	c: a S clause
He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods	entailment	c: a S clause
