sent_1	sent_2	method	lexical_overlap	negated_scope
I could have anticipated	Things have taken a turn which I could not have anticipated .	swapped	False	False
I know whatever about it	""" What is the use of asking me questions when I tell you I know nothing whatever about it ? """	swapped	False	False
that have smell	All these elements are gases that have no colour and no smell .	swapped	False	False
they can tell everyone	"Each person who wants to use asymmetric cryptography uses a secret key number , and a different number , a "" public key "" that they can tell everyone ."	swapped	False	False
once within its rule escape was possible	The oaths and secrets of this brotherhood were frightful , but once within its rule no escape was possible .	swapped	False	False
I guess it is ourselves and the house that we have to blame	""" I guess it is ourselves and not the house that we have to blame ! "" said the baronet ."	swapped	False	False
But there was sign within it of that desperate and defiant villain whom we expected to see .	But there was no sign within it of that desperate and defiant villain whom we expected to see .	swapped	False	False
he heard cries but is unable to state from what direction they came	He declares that he heard cries but is unable to state from what direction they came .	swapped	False	False
It was the convict	It was not the convict .	swapped	False	False
His friend and secretary , Mr. Lucas , is doubtedly a foreigner	His friend and secretary , Mr. Lucas , is undoubtedly a foreigner , chocolate brown , wily , suave , and catlike , with a poisonous gentleness of speech .	swapped	False	False
they were founded	So I reasoned with myself in the morning , and I tell you the direction of my suspicions , however much the result may have shown that they were unfounded .	swapped	False	False
This is bad for people 's health	This is not bad for people 's health .	swapped	False	False
I do wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	I do not wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	swapped	False	False
you to present in that compact form which is dear to your heart	""" It will not be possible for you to present in that compact form which is dear to your heart ."	swapped	False	False
I have interest in this matter but that of your master .	I have no interest in this matter but that of your master .	swapped	False	False
The fruit is red .	The fruit is not red .	swapped	False	False
Although the Roman Catholic Church no longer requires people to sing Gregorian chants , it still says that Gregorian chant is the best music for prayer .	Although the Roman Catholic Church no longer requires people to sing Gregorian chants , it still says that Gregorian chant is the best music for prayer .	swapped	False	False
Between and around these scattered points extends the desolate , life moor .	Between and around these scattered points extends the desolate , lifeless moor .	swapped	False	False
The letter A does have six different sounds	The letter A does not have six different sounds .	swapped	False	False
all these rooms are furnished	Now , all these rooms are unfurnished and unoccupied so that his expedition became more mysterious than ever .	swapped	False	False
