sent	tag	tag_uni	label	cue	scope	tags_idx	tags_uni_idx	cues_idx	scopes_idx	labels_idx
['This', 'symbolizes', 'the', 'power', 'of', 'lust', 'to', 'blow', 'one', 'ab-', 'out', 'a-', 'imlessly', '.']	['DT', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'TO', 'VB', 'CD', 'AFF', 'IN', 'AFF', 'RB', '.']	['DET', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRT', 'VERB', 'X', 'AFF', 'ADP', 'AFF', 'ADV', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'O', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'S', 'S', 'NS', 'S', 'NS']	[0, 1, 0, 2, 3, 2, 4, 5, 6, 7, 3, 7, 8, 9]	[0, 1, 0, 2, 3, 2, 4, 1, 5, 6, 3, 6, 7, 8]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0]	[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1]
"['They', 'surged', 'effort', '-lessly', 'past', 'the', 'palace', 'guards', 'and', 'thundered', 'into', 'the', 'queen', ""'s"", 'bedroom', 'mere', 'minutes', 'a-', 'fter', 'she', 'fled', '.']"	['PRP', 'VBD', 'RB', 'AFF', 'IN', 'DT', 'NN', 'NNS', 'CC', 'VBD', 'IN', 'DT', 'NN', 'POS', 'NN', 'JJ', 'NNS', 'AFF', 'IN', 'PRP', 'VBD', '.']	['PRON', 'VERB', 'ADV', 'AFF', 'ADP', 'DET', 'NOUN', 'NOUN', 'CONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PRT', 'NOUN', 'ADJ', 'NOUN', 'AFF', 'ADP', 'PRON', 'VERB', '.']	['I', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'S', 'NS', 'S', 'S', 'S', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS']	[10, 11, 8, 7, 3, 0, 2, 12, 13, 11, 3, 0, 2, 14, 2, 15, 12, 7, 3, 10, 11, 9]	[9, 1, 7, 6, 3, 0, 2, 2, 10, 1, 3, 0, 2, 4, 2, 11, 2, 6, 3, 9, 1, 8]	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
"['It', 'can', 'connect', 'wire', '-lessly', 'to', 'any', 'computer', 'that', 'has', 'the', 'A-', 'pple', 'program', '``', 'iTunes', ""''"", 'on', 'it', '.']"	"['PRP', 'MD', 'VB', 'RB', 'AFF', 'TO', 'DT', 'NN', 'WDT', 'VBZ', 'DT', 'AFF', 'NNP', 'NN', '``', 'NNP', ""''"", 'IN', 'PRP', '.']"	['PRON', 'VERB', 'VERB', 'ADV', 'AFF', 'PRT', 'DET', 'NOUN', 'DET', 'VERB', 'DET', 'AFF', 'NOUN', 'NOUN', '.', 'NOUN', '.', 'ADP', 'PRON', '.']	['I', 'I', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'S', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS']	[10, 16, 5, 8, 7, 4, 0, 2, 17, 1, 0, 7, 18, 2, 19, 18, 20, 3, 10, 9]	[9, 1, 1, 7, 6, 4, 0, 2, 0, 1, 0, 6, 2, 2, 8, 2, 8, 3, 9, 8]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
"['The', 'electromagnetic', 'field', ""'s"", 'messenger', 'particles', ',', 'photons', ',', 'carry', 'an', 'im-', 'age', 'time', '-lessly', 'a-', 'cross', 'the', 'un-', 'iverse', 'while', 'observers', 'within', 'this', 'field', 'have', 'enough', 'flow', 'through', 'time', 'to', 'decode', 'this', 'im-', 'age', 'and', 'react', 'by', 'moving', 'within', '3D', 'space', ',', 'yet', 'can', 'never', 'outrun', 'this', 'time', '-less', 'im-', 'age', '.']"	['DT', 'JJ', 'NN', 'POS', 'NN', 'NNS', ',', 'NNS', ',', 'VBP', 'DT', 'AFF', 'NN', 'NN', 'AFF', 'AFF', 'IN', 'DT', 'AFF', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NN', 'VBP', 'JJ', 'NN', 'IN', 'NN', 'TO', 'VB', 'DT', 'AFF', 'NN', 'CC', 'VB', 'IN', 'VBG', 'IN', 'CD', 'NN', ',', 'CC', 'MD', 'RB', 'VB', 'DT', 'JJ', 'AFF', 'AFF', 'NN', '.']	['DET', 'ADJ', 'NOUN', 'PRT', 'NOUN', 'NOUN', '.', 'NOUN', '.', 'VERB', 'DET', 'AFF', 'NOUN', 'NOUN', 'AFF', 'AFF', 'ADP', 'DET', 'AFF', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PRT', 'VERB', 'DET', 'AFF', 'NOUN', 'CONJ', 'VERB', 'ADP', 'VERB', 'ADP', 'X', 'NOUN', '.', 'CONJ', 'VERB', 'ADV', 'VERB', 'DET', 'ADJ', 'AFF', 'AFF', 'NOUN', '.']	['I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS']	[0, 15, 2, 14, 2, 12, 21, 12, 21, 22, 0, 7, 2, 2, 7, 7, 3, 0, 7, 2, 3, 12, 3, 0, 2, 22, 15, 2, 3, 2, 4, 5, 0, 7, 2, 13, 5, 3, 23, 3, 6, 2, 21, 13, 16, 8, 5, 0, 15, 7, 7, 2, 9]	[0, 11, 2, 4, 2, 2, 8, 2, 8, 1, 0, 6, 2, 2, 6, 6, 3, 0, 6, 2, 3, 2, 3, 0, 2, 1, 11, 2, 3, 2, 4, 1, 0, 6, 2, 10, 1, 3, 1, 3, 5, 2, 8, 10, 1, 7, 1, 0, 11, 6, 6, 2, 8]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
"['The', 'electromagnetic', 'field', ""'s"", 'messenger', 'particles', ',', 'photons', ',', 'carry', 'an', 'im-', 'age', 'time', '-lessly', 'a-', 'cross', 'the', 'un-', 'iverse', 'while', 'observers', 'within', 'this', 'field', 'have', 'enough', 'flow', 'through', 'time', 'to', 'decode', 'this', 'im-', 'age', 'and', 'react', 'by', 'moving', 'within', '3D', 'space', ',', 'yet', 'can', 'never', 'outrun', 'this', 'time', '-less', 'im-', 'age', '.']"	['DT', 'JJ', 'NN', 'POS', 'NN', 'NNS', ',', 'NNS', ',', 'VBP', 'DT', 'AFF', 'NN', 'NN', 'AFF', 'AFF', 'IN', 'DT', 'AFF', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NN', 'VBP', 'JJ', 'NN', 'IN', 'NN', 'TO', 'VB', 'DT', 'AFF', 'NN', 'CC', 'VB', 'IN', 'VBG', 'IN', 'CD', 'NN', ',', 'CC', 'MD', 'RB', 'VB', 'DT', 'JJ', 'AFF', 'AFF', 'NN', '.']	['DET', 'ADJ', 'NOUN', 'PRT', 'NOUN', 'NOUN', '.', 'NOUN', '.', 'VERB', 'DET', 'AFF', 'NOUN', 'NOUN', 'AFF', 'AFF', 'ADP', 'DET', 'AFF', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PRT', 'VERB', 'DET', 'AFF', 'NOUN', 'CONJ', 'VERB', 'ADP', 'VERB', 'ADP', 'X', 'NOUN', '.', 'CONJ', 'VERB', 'ADV', 'VERB', 'DET', 'ADJ', 'AFF', 'AFF', 'NOUN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'NS']	[0, 15, 2, 14, 2, 12, 21, 12, 21, 22, 0, 7, 2, 2, 7, 7, 3, 0, 7, 2, 3, 12, 3, 0, 2, 22, 15, 2, 3, 2, 4, 5, 0, 7, 2, 13, 5, 3, 23, 3, 6, 2, 21, 13, 16, 8, 5, 0, 15, 7, 7, 2, 9]	[0, 11, 2, 4, 2, 2, 8, 2, 8, 1, 0, 6, 2, 2, 6, 6, 3, 0, 6, 2, 3, 2, 3, 0, 2, 1, 11, 2, 3, 2, 4, 1, 0, 6, 2, 10, 1, 3, 1, 3, 5, 2, 8, 10, 1, 7, 1, 0, 11, 6, 6, 2, 8]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]
"['The', 'electromagnetic', 'field', ""'s"", 'messenger', 'particles', ',', 'photons', ',', 'carry', 'an', 'im-', 'age', 'time', '-lessly', 'a-', 'cross', 'the', 'un-', 'iverse', 'while', 'observers', 'within', 'this', 'field', 'have', 'enough', 'flow', 'through', 'time', 'to', 'decode', 'this', 'im-', 'age', 'and', 'react', 'by', 'moving', 'within', '3D', 'space', ',', 'yet', 'can', 'never', 'outrun', 'this', 'time', '-less', 'im-', 'age', '.']"	['DT', 'JJ', 'NN', 'POS', 'NN', 'NNS', ',', 'NNS', ',', 'VBP', 'DT', 'AFF', 'NN', 'NN', 'AFF', 'AFF', 'IN', 'DT', 'AFF', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NN', 'VBP', 'JJ', 'NN', 'IN', 'NN', 'TO', 'VB', 'DT', 'AFF', 'NN', 'CC', 'VB', 'IN', 'VBG', 'IN', 'CD', 'NN', ',', 'CC', 'MD', 'RB', 'VB', 'DT', 'JJ', 'AFF', 'AFF', 'NN', '.']	['DET', 'ADJ', 'NOUN', 'PRT', 'NOUN', 'NOUN', '.', 'NOUN', '.', 'VERB', 'DET', 'AFF', 'NOUN', 'NOUN', 'AFF', 'AFF', 'ADP', 'DET', 'AFF', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PRT', 'VERB', 'DET', 'AFF', 'NOUN', 'CONJ', 'VERB', 'ADP', 'VERB', 'ADP', 'X', 'NOUN', '.', 'CONJ', 'VERB', 'ADV', 'VERB', 'DET', 'ADJ', 'AFF', 'AFF', 'NOUN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'O', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'NS', 'S', 'S', 'NS']	[0, 15, 2, 14, 2, 12, 21, 12, 21, 22, 0, 7, 2, 2, 7, 7, 3, 0, 7, 2, 3, 12, 3, 0, 2, 22, 15, 2, 3, 2, 4, 5, 0, 7, 2, 13, 5, 3, 23, 3, 6, 2, 21, 13, 16, 8, 5, 0, 15, 7, 7, 2, 9]	[0, 11, 2, 4, 2, 2, 8, 2, 8, 1, 0, 6, 2, 2, 6, 6, 3, 0, 6, 2, 3, 2, 3, 0, 2, 1, 11, 2, 3, 2, 4, 1, 0, 6, 2, 10, 1, 3, 1, 3, 5, 2, 8, 10, 1, 7, 1, 0, 11, 6, 6, 2, 8]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1]
['They', 'have', 'merci', '-lessly', 'slain', 'our', 'patriots', ';', 'they', 'have', 'drowned', 'our', 'uprisings', 'in', 'rivers', 'of', 'blood', '.']	['PRP', 'VBP', 'RB', 'AFF', 'VBN', 'PRP$', 'NNS', ':', 'PRP', 'VBP', 'VBN', 'PRP$', 'NNS', 'IN', 'NNS', 'IN', 'NN', '.']	['PRON', 'VERB', 'ADV', 'AFF', 'VERB', 'PRON', 'NOUN', '.', 'PRON', 'VERB', 'VERB', 'PRON', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', '.']	['I', 'I', 'I', 'O', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'S', 'NS', 'S', 'S', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS']	[10, 22, 8, 7, 24, 25, 12, 26, 10, 22, 24, 25, 12, 3, 12, 3, 2, 9]	[9, 1, 7, 6, 1, 9, 2, 8, 9, 1, 1, 9, 2, 3, 2, 3, 2, 8]	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
['And', 'the', 'Bird', 'of', 'Paradise', 'must', 'have', 'flown', 'a-', 'round', 'the', 'ark', 'end', '-lessly', ',', 'because', 'it', 'had', 'no', 'feet', 'to', 'land', '.']	['CC', 'DT', 'NNP', 'IN', 'NNP', 'MD', 'VB', 'VBN', 'AFF', 'IN', 'DT', 'NN', 'RB', 'AFF', ',', 'IN', 'PRP', 'VBD', 'DT', 'NNS', 'TO', 'NN', '.']	['CONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'VERB', 'AFF', 'ADP', 'DET', 'NOUN', 'ADV', 'AFF', '.', 'ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'PRT', 'NOUN', '.']	['O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS']	[13, 0, 18, 3, 18, 16, 5, 24, 7, 3, 0, 2, 8, 7, 21, 3, 10, 11, 0, 12, 4, 2, 9]	[10, 0, 2, 3, 2, 1, 1, 1, 6, 3, 0, 2, 7, 6, 8, 3, 9, 1, 0, 2, 4, 2, 8]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]
['And', 'the', 'Bird', 'of', 'Paradise', 'must', 'have', 'flown', 'a-', 'round', 'the', 'ark', 'end', '-lessly', ',', 'because', 'it', 'had', 'no', 'feet', 'to', 'land', '.']	['CC', 'DT', 'NNP', 'IN', 'NNP', 'MD', 'VB', 'VBN', 'AFF', 'IN', 'DT', 'NN', 'RB', 'AFF', ',', 'IN', 'PRP', 'VBD', 'DT', 'NNS', 'TO', 'NN', '.']	['CONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'VERB', 'AFF', 'ADP', 'DET', 'NOUN', 'ADV', 'AFF', '.', 'ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'PRT', 'NOUN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'O', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'NS', 'S', 'S', 'S', 'NS']	[13, 0, 18, 3, 18, 16, 5, 24, 7, 3, 0, 2, 8, 7, 21, 3, 10, 11, 0, 12, 4, 2, 9]	[10, 0, 2, 3, 2, 1, 1, 1, 6, 3, 0, 2, 7, 6, 8, 3, 9, 1, 0, 2, 4, 2, 8]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]
['Kittens', 'play', 'end', '-lessly', '.']	['NNS', 'VBP', 'RB', 'AFF', '.']	['NOUN', 'VERB', 'ADV', 'AFF', '.']	['I', 'I', 'I', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE']	['S', 'S', 'S', 'NS', 'NS']	[12, 22, 8, 7, 9]	[2, 1, 7, 6, 8]	[0, 0, 0, 1, 0]	[1, 1, 1, 0, 0]	[0, 0, 0, 1, 1]
