	premise	hypothesis	labels	preds	label	case
8	He made no remark , but the matter remained in his thoughts , for he stood in front of the fire afterwards with a thoughtful face , smoking his pipe , and casting an occasional glance at the message .	the matter remained in his thoughts , for he stood in front of the fire afterwards with a thoughtful face , smoking his pipe , and casting an occasional glance at the message	1	1	entailment	c: a S clause
12	He made no remark , but the matter remained in his thoughts , for he stood in front of the fire afterwards with a thoughtful face , smoking his pipe , and casting an occasional glance at the message .	he stood in front of the fire afterwards with a thoughtful face , smoking his pipe , and casting an occasional glance at the message	1	1	entailment	c: a S clause
20	No woman would ever send a reply-paid telegram .	No woman would ever send a reply paid telegram .	1	1	entailment	c: a S clause
56	" Well , sir , it did not appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could not leave it where it was .	yet , when you have heard the facts , you must admit that I could not leave it where it was	1	1	entailment	c: a S clause
60	" Well , sir , it did not appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could not leave it where it was .	you have heard the facts	1	1	entailment	c: a S clause
64	" Well , sir , it did not appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could not leave it where it was .	I could not leave it where it was	1	1	entailment	c: a S clause
76	" Well , sir , it did not appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could not leave it where it was .	Well , sir , it did not appear to be a matter which concerned the police	1	1	entailment	c: a S clause
136	" I 'm sure it must look very bad , Mr. Holmes , and I am not aware that in my whole life such a thing has ever happened before .	it must look very bad , Mr. Holmes	1	1	entailment	c: a S clause
148	You do not meanyou do not mean that I am suspected ? "	you do not mean that I am suspected	1	1	entailment	c: a S clause
184	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	you proceed with your narrative exactly as you would have done had you never been interrupted	1	1	entailment	c: a S clause
188	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	you would have done had you never been interrupted	1	1	entailment	c: a S clause
192	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	you would have done	1	1	entailment	c: a S clause
200	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	you take no notice of this addition to your audience	1	1	entailment	c: a S clause
