premise	hypothesis	label	case	cue	common_cue
This symbolizes the power of lust to blow one about aimlessly .	This symbolizes the power of lust to blow one about imlessly .	contradiction	b: cue-removed	a-	False
They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	They surged effort past the palace guards	contradiction	a: within scope.	-lessly	False
They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	They surged effort past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	contradiction	b: cue-removed	-lessly	False
They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	she fled	entailment	c: a S clause	-lessly	False
"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	"It can connect wire to any computer that has the Apple program ` ` iTunes "" on it"	entailment	c: a S clause	-lessly	False
"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	"It can connect wirelessly to any computer that has the Apple program ` ` iTunes "" on it ."	entailment	c: a S clause	-lessly	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	The electromagnetic field 's messenger particles , photons , carry an image time across the universe	contradiction	a: within scope.	-lessly	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	The electromagnetic field 's messenger particles , photons , carry an image time across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	contradiction	b: cue-removed	-lessly	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image	entailment	c: a S clause	-lessly	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	to decode this image and react by moving within 3D space , yet can never outrun this timeless image	entailment	c: a S clause	-lessly	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	observers can outrun this timeless image	contradiction	a: within scope.	never	True
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image .	contradiction	b: cue-removed	never	True
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image	contradiction	b: cue-removed	never	True
