sent_1	positive_1	subsequence_1	sent_2	positive_2	subsequence_2	label
observers can outrun this timeless image	True	True	it had feet to land	True	True	neutral
it had feet to land	True	True	observers can outrun this timeless image	True	True	neutral
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False	Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	False	False	neutral
They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	False	False	"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	False	False	neutral
Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	False	False	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False	neutral
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	False	False	Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	False	False	neutral
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False	The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	False	False	neutral
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	False	False	And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	False	False	neutral
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	False	False	They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	False	False	neutral
"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	False	False	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False	neutral
Kittens play endlessly .	False	False	They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	False	False	neutral
The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	False	False	This symbolizes the power of lust to blow one about aimlessly .	False	False	neutral
Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	False	False	Kittens play endlessly .	False	False	neutral
This symbolizes the power of lust to blow one about aimlessly .	False	False	And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	False	False	neutral
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False	observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image	True	True	neutral
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	False	False	it had feet to land	True	True	neutral
They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	False	False	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image .	True	True	neutral
Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	False	False	And the Bird of Paradise must have flown around the ark endlessly , because it had feet to land .	True	True	neutral
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	False	False	observers can outrun this timeless image	True	True	neutral
Kittens play endlessly .	False	False				neutral
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False				neutral
Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	False	False				neutral
This symbolizes the power of lust to blow one about aimlessly .	False	False				neutral
to decode this image and react by moving within 3D space , yet can never outrun this timeless image	False	True				neutral
"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	False	False				neutral
The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	False	False				neutral
it had feet to land	True	True	This symbolizes the power of lust to blow one about aimlessly .	False	False	neutral
observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image	True	True	Kittens play endlessly .	False	False	neutral
observers can outrun this timeless image	True	True	The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	False	False	neutral
And the Bird of Paradise must have flown around the ark endlessly , because it had feet to land .	True	True	to decode this image and react by moving within 3D space , yet can never outrun this timeless image	False	True	neutral
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image .	True	True	Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	False	False	neutral
it had feet to land	True	True	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False	neutral
			Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	False	False	neutral
			And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	False	False	neutral
			The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	False	False	neutral
			They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	False	False	neutral
			"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	False	False	neutral
			They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	False	False	neutral
