sent_1	sent_2	label	case	cue	common_cue
['Since', 'we', 'have', 'been', 'so', 'un-', 'fortunate', 'as', 'to', 'miss', 'him', 'and', 'have', 'no', 'notion', 'of', 'his', 'errand', ',', 'this', 'a-', 'ccidental', 'souvenir', 'becomes', 'of', 'im-', 'portance', '.']	' we ' , ' have ' , ' notion ' , ' of ' , ' his ' , ' errand ' ,	entailment	c: a S clause	'no',	False
"['""', 'I', 'trust', 'that', 'there', 'is', 'nothing', 'of', 'consequence', 'which', 'I', 'have', 'overlooked', '?', """"""]"	' there ' , ' is ' , ' of ' , ' consequence ' , ' which ' , ' I ' , ' have ' , ' overlooked ' ,	entailment	c: a S clause	'nothing',	False
"['And', 'if', 'we', 'take', 'this', 'as', 'a', 'working', 'hypothesis', 'we', 'have', 'a', 'fresh', 'basis', 'from', 'which', 'to', 'start', 'our', 'construction', 'of', 'this', 'un-', 'known', 'visitor', '.', """"""]"	' working ' , ' hypothesis	entailment	c: a S clause	'un-',	False
"['And', 'if', 'we', 'take', 'this', 'as', 'a', 'working', 'hypothesis', 'we', 'have', 'a', 'fresh', 'basis', 'from', 'which', 'to', 'start', 'our', 'construction', 'of', 'this', 'un-', 'known', 'visitor', '.', """"""]"	working ' , ' hypothesis	entailment	c: a S clause	'un-',	False
"['And', 'if', 'we', 'take', 'this', 'as', 'a', 'working', 'hypothesis', 'we', 'have', 'a', 'fresh', 'basis', 'from', 'which', 'to', 'start', 'our', 'construction', 'of', 'this', 'un-', 'known', 'visitor', '.', """"""]"	working '	entailment	c: a S clause	'un-',	False
"['""', 'Now', ',', 'you', 'will', 'observe', 'that', 'he', 'could', 'not', 'have', 'been', 'on', 'the', 'staff', 'of', 'the', 'hospital', ',', 'since', 'only', 'a', 'man', 'well-established', 'in', 'a', 'London', 'practice', 'could', 'hold', 'such', 'a', 'position', ',', 'and', 'such', 'a', 'one', 'would', 'not', 'drift', 'into', 'the', 'country', '.']"	' been '	entailment	c: a S clause	'not',	False
['I', 'followed', 'the', 'footsteps', 'down', 'the', 'yew', 'a-', 'lley', ',', 'I', 'saw', 'the', 'spot', 'at', 'the', 'moor-gate', 'where', 'he', 'seemed', 'to', 'have', 'waited', ',', 'I', 'remarked', 'the', 'change', 'in', 'the', 'shape', 'of', 'the', 'prints', 'a-', 'fter', 'that', 'point', ',', 'I', 'noted', 'that', 'there', 'were', 'no', 'other', 'footsteps', 'save', 'those', 'of', 'Barrymore', 'on', 'the', 'soft', 'gravel', ',', 'and', 'finally', 'I', 'carefully', 'examined', 'the', 'body', ',', 'which', 'had', 'not', 'been', 'touched', 'un-', 'til', 'my', 'a-', 'rrival', '.']	' there ' , ' were ' , ' other ' , ' footsteps ' , ' save ' , ' those ' , ' of ' , ' Barrymore ' , ' on ' , ' the ' , ' soft ' , ' gravel ' ,	entailment	c: a S clause	'no',	False
['He', 'said', 'that', 'there', 'were', 'no', 'traces', 'upon', 'the', 'ground', 'round', 'the', 'body', '.']	' there ' , ' were ' , ' traces ' , ' upon ' , ' the ' , ' ground ' , ' round ' , ' the ' , ' body ' ,	entailment	c: a S clause	'no',	False
"['""', 'I', 'did', 'not', 'say', 'that', 'I', 'desired', 'you', 'to', 'do', 'it', '.', """"""]"	' I ' , ' did ' , ' say ' , ' that ' , ' I ' , ' desired ' , ' you ' , ' to ' , ' do ' , ' it ' ,	entailment	c: a S clause	'not',	False
"['""', 'I', 'think', 'it', 'un-', 'likely', 'that', 'he', 'waited', 'at', 'the', 'moor-gate', 'every', 'evening', '.']"	' I ' , ' think ' , ' it ' , ' likely ' , ' that ' , ' he ' , ' waited ' , ' at ' , ' the ' , ' moor gate ' , ' every ' , ' evening ' ,	entailment	c: a S clause	'un-',	False
