sent_1	positive_1	subsequence_1	sent_2	positive_2	subsequence_2	label
Acceleration does have its own units of measurement .	True	True	This is caused by many things .	True	True	neutral
Rain and storms are both in this level	True	True	People bake bread .	True	True	neutral
Average word has two syllables .	True	True	This can be made longer .	True	True	neutral
Some breads are fried .	True	True	The hills does have many forests	True	True	neutral
The outside is even .	True	True	The petition did receive thousands of signatures	True	True	neutral
Most kinds of fish have bones	True	True	Acceleration does have its own units of measurement	True	True	neutral
Many people do disagree on the topic .	True	True	The sizes of cities can be very different	True	True	neutral
Some foods are good .	True	True	A berry might contain one seed or many	True	True	neutral
This is bad for people 's health .	True	True	The outside is even .	True	True	neutral
Some ghosts might cause fear .	True	True	These fishes are thin	True	True	neutral
It can have different meanings .	True	True	He took hormones .	True	True	neutral
Humans do have a problem with maths	True	True	There are different types of books	True	True	neutral
This can be made longer	True	True	Men , women , and children are human beings	True	True	neutral
It does use data from researchers all over the world .	True	True	These fishes are thin .	True	True	neutral
The fruit is red .	True	True	He did take hormones	True	True	neutral
People bake bread .	True	True	Average word does have two syllables	True	True	neutral
They are on both sides .	True	True	He did take hormones .	True	True	neutral
Average word does have two syllables .	True	True	A computer has several main parts	True	True	neutral
This is caused by many things	True	True	Most fish do live in the water	True	True	neutral
The country does have fifty smaller parts called provinces .	True	True	It does have a solid shape .	True	True	neutral
People might miss the person who has died .	True	True	Many other cities have grown in the same way .	True	True	neutral
There are several types of chemistry .	True	True	Rain and storms are both in this level	True	True	neutral
Acceleration has its own units of measurement	True	True	Rain and storms are both in this level	True	True	neutral
The petition did receive thousands of signatures	True	True	Rain and storms are both in this level .	True	True	neutral
Some breads are fried .	True	True	Acceleration has its own units of measurement	True	True	neutral
Rain and storms are both in this level .	True	True	Most kinds of fish do have bones	True	True	neutral
They are on both sides .	True	True	The country does have fifty smaller parts called provinces .	True	True	neutral
A computer has several main parts	True	True	Many people do disagree on the topic	True	True	neutral
They were pacifists	True	True	The fruit is red .	True	True	neutral
Most summers are very hot .	True	True	Many other cities have grown in the same way .	True	True	neutral
He took hormones	True	True	Acceleration has its own units of measurement .	True	True	neutral
Most summers are very hot	True	True	The petition did receive thousands of signatures	True	True	neutral
The petition received thousands of signatures .	True	True	It does use data from researchers all over the world	True	True	neutral
Most fish do live in the water .	True	True	Humans do have a problem with maths .	True	True	neutral
