sent_1	sent_2	label	case	cue	common_cue	lexical_overlap	method	negated_scope	negation_scope
"I suppose when you doctored you found yourself studying cases without thought of a fee ? """	you doctored you found yourself studying cases thought of a fee	contradiction	b: cue-removed	without	False	True	nep	True	
""" And now tell me the result of your visit to Mrs. Laura Lyonsit was not difficult for me to guess that it was to see her that you had gone , for I am already aware that she is the one person in Coombe Tracey who might be of service to us in the matter ."	you had gone	contradiction	a: within scope.	not	True	True	nep	True	
Surely the explanation of all this could not be as innocent as she would have me believe .	she would have me believe	contradiction	a: within scope.	not	True	True	nep	True	
"Pray do not think it a liberty if I give you a word of friendly warning . """	I give you a word of friendly warning	contradiction	a: within scope.	not	True	True	nep	True	
No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	it was indeed his friend and patient who lay before him	entailment	c: a S clause	no	True	True	nep	False	
It was strange to see this single candle burning there in the middle of the moor , with no sign of life near itjust the one straight yellow flame and the gleam of the rock on each side of it .	It was strange to see this single candle burning there in the middle of the moor , with sign of life near itjust the one straight yellow flame and the gleam of the rock on each side of it .	contradiction	b: cue-removed	no	True	True	nep	True	
I 've taken up the matter , and I wo not lose sight of it .	I wo lose sight of it	contradiction	a: within scope.	not	True	True	nep	True	
I shrank back into the darkest corner and cocked the pistol in my pocket , determined not to discover myself until I had an opportunity of seeing something of the stranger .	I had an opportunity of seeing something of the stranger	contradiction	a: within scope.	not	True	True	nep	True	
""" It 's a bad compliment to me that you can not be contented with my society for so short a time . """	you can be contented with my society for so short a time	contradiction	a: within scope.	not	True	True	nep	True	
If nothing stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop : the output reinforces the input ; it makes the input stronger .	This is an example of a positive feedback loop	entailment	c: a S clause	nothing	False	True	nep	False	
""" Well , I do not profess to understand it yet ."	I do profess to understand it yet	contradiction	a: within scope.	not	True	True	nep	True	
""" I do not think that it is likely . """	I do think that it is likely	contradiction	a: within scope.	not	True	True	nep	True	
As I looked from their windows at the interminable granite-flecked moor rolling unbroken to the farthest horizon I could not but marvel at what could have brought this highly educated man and this beautiful woman to live in such a place .	As I looked from their windows at the interminable granite flecked moor rolling unbroken to the farthest horizon I could not but marvel at what could have brought this highly educated man and this beautiful woman to live in such a place .	entailment	c: a S clause	un-	False	True	nep	False	
""" ` Well , I do not know now whether it was pure devilry on the part of this woman , or whether she thought that she could turn me against my wife by encouraging her to misbehave ."	it was pure devilry on the part of this woman	contradiction	a: within scope.	not	True	True	nep	True	
We have no excuse for an intrusion upon his privacy until we have some reason to think that there is a guilty reason for it .	there is a guilty reason for it	contradiction	a: within scope.	no	True	True	nep	True	
"But I hope that to lose one of your boots is not part of the ordinary routine of life over here . """	to lose one of your boots is part of the ordinary routine of life over here	contradiction	a: within scope.	not	True	True	nep	True	
I see no charm in the man .	I see charm in the man .	contradiction	b: cue-removed	no	True	True	nep	True	
For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	with you there is reason why I should t be perfectly frank	contradiction	b: cue-removed	no	True	True	nep	True	
""" The surprise was not all on one side , I assure you ."	I assure you	entailment	c: a S clause	not	True	True	nep	False	
"Good-bye , and I am very sorry that you should have been troubled over a case with which , as you say , you have nothing whatever to do . """	you say	entailment	c: a S clause	nothing	False	True	nep	False	
"But now you have been kind to us , and I feel as if it would be treating you unfairly not to tell you all that I know about the matter . """	I know about the matter	contradiction	a: within scope.	not	True	True	nep	True	
"If the abnormal cells do not invade , but just divide and swell up their original tissue , this is not called "" cancer "" ."	"If the abnormal cells do not invade , but just divide and swell up their original tissue , this is not called ` ` cancer "" ."	entailment	c: a S clause	not-not	False	True	nep	False	
Ask me what you like , and there is nothing which I shall hold back .	there is which I shall hold back	contradiction	a: within scope.	nothing	False	True	nep	True	
A spectral hound which leaves material footmarks and fills the air with its howling is surely not to be thought of .	leaves material footmarks and fills the air with its howling	contradiction	a: within scope.	not	True	True	nep	True	
People who study the history of music and religion no longer believe this , because most early Christian songs were not from the Psalms , and Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70	contradiction	a: within scope.	no-longer	False	True	nep	True	
Today we mean to communicate to the Princetown people where they should look for their missing man , but it is hard lines that we have not actually had the triumph of bringing him back as our own prisoner .	they should look for their missing man	entailment	c: a S clause	not	True	True	nep	False	
Other congenital heart problems are caused by abnormal heart valves .	Other congenital heart problems are caused by normal heart valves .	contradiction	b: cue-removed	ab-	False	True	nep	True	
It is not to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	It is to be wondered at	contradiction	a: within scope.	not	True	True	nep	True	
If it were the devil himself a constable on duty should never thank God that he could not lay his hands upon him .	it were the devil himself a constable on duty	entailment	c: a S clause	never	True	True	nep	False	
"You find yourself insensibly twisting them round to fit your theories . """	"You find yourself sensibly twisting them round to fit your theories . """	contradiction	b: cue-removed	in-	False	True	nep	True	
The great ordeal was in front of us ; at last we were about to make our final effort , and yet Holmes had said nothing , and I could only surmise what his course of action would be .	The great ordeal was in front of us ; at last we were about to make our final effort , and yet Holmes had said , and I could only surmise what his course of action would be .	contradiction	b: cue-removed	nothing	False	True	nep	True	
""" I never saw a Devonshire man who did not swear by his county , "" I remarked ."	"` ` I never saw a Devonshire man who did swear by his county , "" I remarked ."	contradiction	b: cue-removed	not	True	True	nep	True	
I have not heard him laugh often , and it has always boded ill to somebody .	it has always boded ill to somebody	entailment	c: a S clause	not	True	True	nep	False	
Whatever she may have deserved one could not allow her to go hopelessly to the bad .	Whatever she may have deserved one could allow her to go hopelessly to the bad .	contradiction	b: cue-removed	not	True	True	nep	True	
It is equally certain that this house can not be more than a mile or two from Oxshott , since Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock .	this house can be more than a mile or two from Oxshott	contradiction	a: within scope.	not	True	True	nep	True	
""" I did not positively say so . """	"` ` I did positively say so . """	contradiction	b: cue-removed	not	True	True	nep	True	
She was frightened by my face , I think , for she never answered a word , and the same evening she left my house .	She was frightened by my face , I think , for she answered a word , and the same evening she left my house .	contradiction	b: cue-removed	never	True	True	nep	True	
""" Oh ! "" says she , "" if my friends are not good enough for this house , then I am not good enough for it either . """	she , ` ` if my friends are good enough for this house , then I am good enough for it	contradiction	b: cue-removed	not	True	True	nep	True	
According to experts , a child born with atypical genitalia serious enough to call in an expert occurs in about 1 of 1,500 births .	According to experts , a child born with typical genitalia serious enough to call in an expert occurs in about 1 of 1,500 births .	contradiction	b: cue-removed	a-	False	True	nep	True	
There was nothing for it , however , but implicit obedience ; so we bade good-bye to our rueful friend , and a couple of hours afterwards we were at the station of Coombe Tracey and had dispatched the trap upon its return journey .	so we bade good bye to our rueful friend , and a couple of hours afterwards we were at the station of Coombe Tracey and had dispatched the trap upon its return journey	entailment	c: a S clause	nothing	False	True	nep	False	
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	they ' ve had sight of him yet	entailment	c: a S clause	no	True	True	nep	False	
I give you my word , sir , that it is not my secret , and that I can not tell it .	I can not tell it	entailment	c: a S clause	not	True	True	nep	False	
There are lonely houses scattered over the moor , and he is a fellow who would stick at nothing .	There are lonely houses scattered over the moor , and he is a fellow who would stick at .	contradiction	b: cue-removed	nothing	False	True	nep	True	
He was in shirt and trousers , with no covering to his feet .	He was in shirt and trousers , with covering to his feet .	contradiction	b: cue-removed	no	True	True	nep	True	
"One thing I swear to you , and that is that when I wrote the letter I never dreamed of any harm to the old gentleman , who had been my kindest friend . """	"One thing I swear to you , and that is that when I wrote the letter I dreamed of some harm to the old gentleman , who had been my kindest friend . """	contradiction	b: cue-removed	never	True	True	nep	True	
Even now we have no clear case against this very wily man .	Even w we have clear case against this very wily man .	contradiction	b: cue-removed	no	True	True	nep	True	
""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	that is that we have been shadowed during the last two days	contradiction	b: cue-removed	not	True	True	nep	True	
