sent	tag	tag_uni	label	cue	scope	tags_idx	tags_uni_idx	cues_idx	scopes_idx	labels_idx
['``', 'Well', ',', 'Mrs.', 'Warren', ',', 'I', 'can', 'not', 'see', 'that', 'you', 'have', 'any', 'particular', 'cause', 'for', 'un-', 'easiness', ',', 'nor', 'do', 'I', 'un-', 'derstand', 'why', 'I', ',', 'whose', 'time', 'is', 'of', 'some', 'value', ',', 'should', 'in-', 'terfere', 'in', 'the', 'matter', '.']	['``', 'RB', ',', 'NNP', 'NNP', ',', 'PRP', 'MD', 'RB', 'VB', 'IN', 'PRP', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'AFF', 'NN', ',', 'CC', 'VBP', 'PRP', 'AFF', 'VB', 'WRB', 'PRP', ',', 'WP$', 'NN', 'VBZ', 'IN', 'DT', 'NN', ',', 'MD', 'AFF', 'VB', 'IN', 'DT', 'NN', '.']	['.', 'ADV', '.', 'NOUN', 'NOUN', '.', 'PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'AFF', 'NOUN', '.', 'CONJ', 'VERB', 'PRON', 'AFF', 'VERB', 'ADV', 'PRON', '.', 'PRON', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', '.', 'VERB', 'AFF', 'VERB', 'ADP', 'DET', 'NOUN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS']	[0, 1, 2, 3, 3, 2, 4, 5, 1, 6, 7, 4, 8, 9, 10, 11, 7, 12, 11, 2, 13, 8, 4, 12, 6, 14, 4, 2, 15, 11, 16, 7, 9, 11, 2, 5, 12, 6, 7, 9, 11, 17]	[0, 1, 0, 2, 2, 0, 3, 4, 1, 4, 5, 3, 4, 6, 7, 2, 5, 8, 2, 0, 9, 4, 3, 8, 4, 1, 3, 0, 3, 2, 4, 5, 6, 2, 0, 4, 8, 4, 5, 6, 2, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
['``', 'Well', ',', 'Mrs.', 'Warren', ',', 'I', 'can', 'not', 'see', 'that', 'you', 'have', 'any', 'particular', 'cause', 'for', 'un-', 'easiness', ',', 'nor', 'do', 'I', 'un-', 'derstand', 'why', 'I', ',', 'whose', 'time', 'is', 'of', 'some', 'value', ',', 'should', 'in-', 'terfere', 'in', 'the', 'matter', '.']	['``', 'RB', ',', 'NNP', 'NNP', ',', 'PRP', 'MD', 'RB', 'VB', 'IN', 'PRP', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'AFF', 'NN', ',', 'CC', 'VBP', 'PRP', 'AFF', 'VB', 'WRB', 'PRP', ',', 'WP$', 'NN', 'VBZ', 'IN', 'DT', 'NN', ',', 'MD', 'AFF', 'VB', 'IN', 'DT', 'NN', '.']	['.', 'ADV', '.', 'NOUN', 'NOUN', '.', 'PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'AFF', 'NOUN', '.', 'CONJ', 'VERB', 'PRON', 'AFF', 'VERB', 'ADV', 'PRON', '.', 'PRON', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', '.', 'VERB', 'AFF', 'VERB', 'ADP', 'DET', 'NOUN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS']	[0, 1, 2, 3, 3, 2, 4, 5, 1, 6, 7, 4, 8, 9, 10, 11, 7, 12, 11, 2, 13, 8, 4, 12, 6, 14, 4, 2, 15, 11, 16, 7, 9, 11, 2, 5, 12, 6, 7, 9, 11, 17]	[0, 1, 0, 2, 2, 0, 3, 4, 1, 4, 5, 3, 4, 6, 7, 2, 5, 8, 2, 0, 9, 4, 3, 8, 4, 1, 3, 0, 3, 2, 4, 5, 6, 2, 0, 4, 8, 4, 5, 6, 2, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
['``', 'Well', ',', 'Mrs.', 'Warren', ',', 'I', 'can', 'not', 'see', 'that', 'you', 'have', 'any', 'particular', 'cause', 'for', 'un-', 'easiness', ',', 'nor', 'do', 'I', 'un-', 'derstand', 'why', 'I', ',', 'whose', 'time', 'is', 'of', 'some', 'value', ',', 'should', 'in-', 'terfere', 'in', 'the', 'matter', '.']	['``', 'RB', ',', 'NNP', 'NNP', ',', 'PRP', 'MD', 'RB', 'VB', 'IN', 'PRP', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'AFF', 'NN', ',', 'CC', 'VBP', 'PRP', 'AFF', 'VB', 'WRB', 'PRP', ',', 'WP$', 'NN', 'VBZ', 'IN', 'DT', 'NN', ',', 'MD', 'AFF', 'VB', 'IN', 'DT', 'NN', '.']	['.', 'ADV', '.', 'NOUN', 'NOUN', '.', 'PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'AFF', 'NOUN', '.', 'CONJ', 'VERB', 'PRON', 'AFF', 'VERB', 'ADV', 'PRON', '.', 'PRON', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', '.', 'VERB', 'AFF', 'VERB', 'ADP', 'DET', 'NOUN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS']	[0, 1, 2, 3, 3, 2, 4, 5, 1, 6, 7, 4, 8, 9, 10, 11, 7, 12, 11, 2, 13, 8, 4, 12, 6, 14, 4, 2, 15, 11, 16, 7, 9, 11, 2, 5, 12, 6, 7, 9, 11, 17]	[0, 1, 0, 2, 2, 0, 3, 4, 1, 4, 5, 3, 4, 6, 7, 2, 5, 8, 2, 0, 9, 4, 3, 8, 4, 1, 3, 0, 3, 2, 4, 5, 6, 2, 0, 4, 8, 4, 5, 6, 2, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
['``', 'But', 'he', 'would', 'never', 'cease', 'talking', 'of', 'it', '--', 'your', 'kindness', ',', 'sir', ',', 'and', 'the', 'way', 'in', 'which', 'you', 'brought', 'light', 'into', 'the', 'darkness', '.']	['``', 'CC', 'PRP', 'MD', 'RB', 'VB', 'VBG', 'IN', 'PRP', ':', 'PRP$', 'NN', ',', 'NNP', ',', 'CC', 'DT', 'NN', 'IN', 'WDT', 'PRP', 'VBD', 'NN', 'IN', 'DT', 'NN', '.']	['.', 'CONJ', 'PRON', 'VERB', 'ADV', 'VERB', 'VERB', 'ADP', 'PRON', '.', 'PRON', 'NOUN', '.', 'NOUN', '.', 'CONJ', 'DET', 'NOUN', 'ADP', 'DET', 'PRON', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', '.']	['O', 'O', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'S', 'S', 'NS', 'S', 'S', 'S', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS']	[0, 13, 4, 5, 1, 6, 18, 7, 4, 19, 20, 11, 2, 3, 2, 13, 9, 11, 7, 21, 4, 22, 11, 7, 9, 11, 17]	[0, 9, 3, 4, 1, 4, 4, 5, 3, 0, 3, 2, 0, 2, 0, 9, 6, 2, 5, 6, 3, 4, 2, 5, 6, 2, 0]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]	[1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
"['You', 'do', ""n't"", 'object', 'to', 'tobacco', ',', 'I', 'take', 'it', '?']"	['PRP', 'VBP', 'RB', 'VB', 'TO', 'NN', ',', 'PRP', 'VBP', 'PRP', '.']	['PRON', 'VERB', 'ADV', 'VERB', 'PRT', 'NOUN', '.', 'PRON', 'VERB', 'PRON', '.']	['I', 'I', 'O', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'S', 'S', 'NS', 'NS', 'NS', 'NS', 'NS']	[4, 8, 1, 6, 23, 11, 2, 4, 8, 4, 17]	[3, 4, 1, 4, 10, 2, 0, 3, 4, 3, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]
['You', 'are', 'un-', 'easy', ',', 'as', 'I', 'un-', 'derstand', ',', 'because', 'your', 'new', 'lodger', 'remains', 'in', 'his', 'rooms', 'and', 'you', 'can', 'not', 'see', 'him', '.']	['PRP', 'VBP', 'AFF', 'JJ', ',', 'IN', 'PRP', 'AFF', 'VBP', ',', 'IN', 'PRP$', 'JJ', 'NN', 'VBZ', 'IN', 'PRP$', 'NNS', 'CC', 'PRP', 'MD', 'RB', 'VB', 'PRP', '.']	['PRON', 'VERB', 'AFF', 'ADJ', '.', 'ADP', 'PRON', 'AFF', 'VERB', '.', 'ADP', 'PRON', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PRON', 'NOUN', 'CONJ', 'PRON', 'VERB', 'ADV', 'VERB', 'PRON', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'O', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'NS', 'S', 'S', 'NS']	[4, 8, 12, 10, 2, 7, 4, 12, 8, 2, 7, 20, 10, 11, 16, 7, 20, 24, 13, 4, 5, 1, 6, 4, 17]	[3, 4, 8, 7, 0, 5, 3, 8, 4, 0, 5, 3, 7, 2, 4, 5, 3, 2, 9, 3, 4, 1, 4, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1]
"['Why', ',', 'b', '-less', 'you', ',', 'Mrs.', 'Warren', ',', 'if', 'I', 'were', 'your', 'lodger', 'you', 'often', 'would', 'not', 'see', 'me', 'for', 'weeks', 'on', 'end', '.', ""''""]"	"['WRB', ',', 'VB', 'AFF', 'PRP', ',', 'NNP', 'NNP', ',', 'IN', 'PRP', 'VBD', 'PRP$', 'NN', 'PRP', 'RB', 'MD', 'RB', 'VB', 'PRP', 'IN', 'NNS', 'IN', 'NN', '.', ""''""]"	['ADV', '.', 'VERB', 'AFF', 'PRON', '.', 'NOUN', 'NOUN', '.', 'ADP', 'PRON', 'VERB', 'PRON', 'NOUN', 'PRON', 'ADV', 'VERB', 'ADV', 'VERB', 'PRON', 'ADP', 'NOUN', 'ADP', 'NOUN', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'NS', 'NS']	[14, 2, 6, 12, 4, 2, 3, 3, 2, 7, 4, 22, 20, 11, 4, 1, 5, 1, 6, 4, 7, 24, 7, 11, 17, 25]	[1, 0, 4, 8, 3, 0, 2, 2, 0, 5, 3, 4, 3, 2, 3, 1, 4, 1, 4, 3, 5, 2, 5, 2, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]
"['I', 'ca', ""n't"", 'sleep', 'for', 'fright', '.']"	['PRP', 'MD', 'RB', 'VB', 'IN', 'NN', '.']	['PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'NOUN', '.']	['I', 'I', 'O', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'S', 'S', 'NS']	[4, 5, 1, 6, 7, 11, 17]	[3, 4, 1, 4, 5, 2, 0]	[0, 0, 1, 0, 0, 0, 0]	[1, 1, 0, 1, 1, 1, 0]	[0, 0, 1, 0, 0, 0, 1]
"['To', 'hear', 'his', 'quick', 'step', 'moving', 'here', 'and', 'moving', 'there', 'from', 'early', 'morning', 'to', 'late', 'at', 'night', ',', 'and', 'yet', 'never', 'to', 'catch', 'so', 'much', 'as', 'a', 'glimpse', 'of', 'him', '--', 'it', ""'s"", 'more', 'than', 'I', 'can', 'stand', '.']"	['TO', 'VB', 'PRP$', 'JJ', 'NN', 'VBG', 'RB', 'CC', 'VBG', 'RB', 'IN', 'JJ', 'NN', 'TO', 'JJ', 'IN', 'NN', ',', 'CC', 'RB', 'RB', 'TO', 'VB', 'RB', 'RB', 'IN', 'DT', 'NN', 'IN', 'PRP', ':', 'PRP', 'VBZ', 'JJR', 'IN', 'PRP', 'MD', 'VB', '.']	['PRT', 'VERB', 'PRON', 'ADJ', 'NOUN', 'VERB', 'ADV', 'CONJ', 'VERB', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PRT', 'ADJ', 'ADP', 'NOUN', '.', 'CONJ', 'ADV', 'ADV', 'PRT', 'VERB', 'ADV', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'PRON', '.', 'PRON', 'VERB', 'ADJ', 'ADP', 'PRON', 'VERB', 'VERB', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS']	[23, 6, 20, 10, 11, 18, 1, 13, 18, 1, 7, 10, 11, 23, 10, 7, 11, 2, 13, 1, 1, 23, 6, 1, 1, 7, 9, 11, 7, 4, 19, 4, 16, 26, 7, 4, 5, 6, 17]	[10, 4, 3, 7, 2, 4, 1, 9, 4, 1, 5, 7, 2, 10, 7, 5, 2, 0, 9, 1, 1, 10, 4, 1, 1, 5, 6, 2, 5, 3, 0, 3, 4, 7, 5, 3, 4, 4, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
['My', 'husband', 'is', 'as', 'nervous', 'over', 'it', 'as', 'I', 'am', ',', 'but', 'he', 'is', 'out', 'at', 'his', 'work', 'all', 'day', ',', 'while', 'I', 'get', 'no', 'rest', 'from', 'it', '.']	['PRP$', 'NN', 'VBZ', 'RB', 'JJ', 'IN', 'PRP', 'IN', 'PRP', 'VBP', ',', 'CC', 'PRP', 'VBZ', 'RP', 'IN', 'PRP$', 'NN', 'DT', 'NN', ',', 'IN', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'PRP', '.']	['PRON', 'NOUN', 'VERB', 'ADV', 'ADJ', 'ADP', 'PRON', 'ADP', 'PRON', 'VERB', '.', 'CONJ', 'PRON', 'VERB', 'PRT', 'ADP', 'PRON', 'NOUN', 'DET', 'NOUN', '.', 'ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'O', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'NS', 'S', 'S', 'NS', 'S', 'S', 'S', 'NS']	[20, 11, 16, 1, 10, 7, 4, 7, 4, 8, 2, 13, 4, 16, 27, 7, 20, 11, 9, 11, 2, 7, 4, 8, 9, 11, 7, 4, 17]	[3, 2, 4, 1, 7, 5, 3, 5, 3, 4, 0, 9, 3, 4, 10, 5, 3, 2, 6, 2, 0, 5, 3, 4, 6, 2, 5, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]
