sent	tag	tag_uni	label	cue	scope	tags_idx	tags_uni_idx	cues_idx	scopes_idx	labels_idx
['The', 'meaning', 'of', 'the', 'diamond', 'is', 'not', 'in-', 'nocence', '.']	['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'RB', 'AFF', 'NN', '.']	['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'AFF', 'NOUN', '.']	['I', 'I', 'I', 'I', 'I', 'I', 'O', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'S', 'S', 'S', 'S', 'NS', 'S', 'S', 'NS']	[0, 1, 2, 0, 1, 3, 4, 5, 1, 6]	[0, 1, 2, 0, 1, 3, 4, 5, 1, 6]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]
"['The', 'meaning', 'of', 'the', 'diamond', 'is', ""n't"", 'in-', 'nocence', '.']"	['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'RB', 'AFF', 'NN', '.']	['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'AFF', 'NOUN', '.']	['I', 'I', 'I', 'I', 'I', 'I', 'O', 'I', 'I', 'I']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'S', 'S', 'S', 'S', 'NS', 'S', 'S', 'S']	[0, 1, 2, 0, 1, 3, 4, 5, 1, 6]	[0, 1, 2, 0, 1, 3, 4, 5, 1, 6]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
['There', 'are', 'not', 'many', 'types', 'of', 'a-', 'nimals', '.']	['EX', 'VBP', 'RB', 'JJ', 'NNS', 'IN', 'AFF', 'NNS', '.']	['DET', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'AFF', 'NOUN', '.']	['I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'NS']	[7, 8, 4, 9, 10, 2, 5, 10, 6]	[0, 3, 4, 7, 1, 2, 5, 1, 6]	[0, 0, 1, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 1, 1, 1, 1, 1, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 1]
"['There', 'are', ""n't"", 'many', 'types', 'of', 'a-', 'nimals', '.']"	['EX', 'VBP', 'RB', 'JJ', 'NNS', 'IN', 'AFF', 'NNS', '.']	['DET', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'AFF', 'NOUN', '.']	['I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'S', 'S', 'S', 'S', 'NS']	[7, 8, 4, 9, 10, 2, 5, 10, 6]	[0, 3, 4, 7, 1, 2, 5, 1, 6]	[0, 0, 1, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 1, 1, 1, 1, 1, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 1]
['Men', ',', 'women', ',', 'and', 'children', 'are', 'not', 'human', 'beings', '.']	['NNS', ',', 'NNS', ',', 'CC', 'NNS', 'VBP', 'RB', 'JJ', 'NNS', '.']	['NOUN', '.', 'NOUN', '.', 'CONJ', 'NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN', '.']	['I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'S', 'S', 'S', 'S', 'S', 'NS', 'S', 'S', 'NS']	[10, 11, 10, 11, 12, 10, 8, 4, 9, 10, 6]	[1, 6, 1, 6, 8, 1, 3, 4, 7, 1, 6]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]
['There', 'are', 'not', 'several', 'types', 'of', 'chemistry', '.']	['EX', 'VBP', 'RB', 'JJ', 'NNS', 'IN', 'NN', '.']	['DET', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN', '.']	['I', 'I', 'O', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'S', 'S', 'S', 'NS']	[7, 8, 4, 9, 10, 2, 1, 6]	[0, 3, 4, 7, 1, 2, 1, 6]	[0, 0, 1, 0, 0, 0, 0, 0]	[1, 1, 0, 1, 1, 1, 1, 0]	[0, 0, 1, 0, 0, 0, 0, 1]
"['There', 'are', ""n't"", 'several', 'types', 'of', 'chemistry', '.']"	['EX', 'VBP', 'RB', 'JJ', 'NNS', 'IN', 'NN', '.']	['DET', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN', '.']	['I', 'I', 'O', 'I', 'I', 'I', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'S', 'S', 'S', 'NS']	[7, 8, 4, 9, 10, 2, 1, 6]	[0, 3, 4, 7, 1, 2, 1, 6]	[0, 0, 1, 0, 0, 0, 0, 0]	[1, 1, 0, 1, 1, 1, 1, 0]	[0, 0, 1, 0, 0, 0, 0, 1]
['They', 'were', 'not', 'pacifists', '.']	['PRP', 'VBD', 'RB', 'JJ', '.']	['PRON', 'VERB', 'ADV', 'ADJ', '.']	['I', 'I', 'O', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'NS']	[13, 14, 4, 9, 6]	[9, 3, 4, 7, 6]	[0, 0, 1, 0, 0]	[1, 1, 0, 1, 0]	[0, 0, 1, 0, 1]
"['They', 'were', ""n't"", 'pacifists', '.']"	['PRP', 'VBD', 'RB', 'JJ', '.']	['PRON', 'VERB', 'ADV', 'ADJ', '.']	['I', 'I', 'O', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'NS']	[13, 14, 4, 9, 6]	[9, 3, 4, 7, 6]	[0, 0, 1, 0, 0]	[1, 1, 0, 1, 0]	[0, 0, 1, 0, 1]
['They', 'were', 'never', 'pacifists', '.']	['PRP', 'VBD', 'RB', 'JJ', '.']	['PRON', 'VERB', 'ADV', 'ADJ', '.']	['I', 'I', 'O', 'I', 'O']	['NOTCUE', 'NOTCUE', 'CUE', 'NOTCUE', 'NOTCUE']	['S', 'S', 'NS', 'S', 'NS']	[13, 14, 4, 9, 6]	[9, 3, 4, 7, 6]	[0, 0, 1, 0, 0]	[1, 1, 0, 1, 0]	[0, 0, 1, 0, 1]
