sent_1	positive_1	subsequence_1	sent_2	positive_2	subsequence_2	label
we shall succeed in establishing ourselves in some business	True	True	mortal eyes have seen	True	True	neutral
I had been told	True	True	You do believe it	True	True	neutral
I should have known that he was upon the moor	True	True	trouble were coming on him in such a place as this	True	True	neutral
"` ` I saw a Devonshire man who did not swear by his county , "" I remarked ."	True	True	There 's a man would cross it after sundown if he was paid for it .	True	True	neutral
It was as if the Barrymores had taken us into their confidence	True	True	I have doubt that you would have had a more lively evening	True	True	neutral
you would have taken advantage of it	True	True	It may have been that Barrymore had some private signal which we had neglected to give , or the fellow may have had some other reason for thinking that all was well , but I could read his fears upon his wicked face .	True	True	neutral
Look at Mr. Stapleton 's house , for example , with one but himself to defend it .	True	True	he would wish me to go with him	True	True	neutral
Life has become like that great Grimpen Mire , with little green patches everywhere into which one may sink and with guide to point the track .	True	True	We had arranged plan of campaign	True	True	neutral
There could be doubt about the beetling forehead , the sunken animal eyes	True	True	I assure you that there would be the least chance of your coming back alive .	True	True	neutral
"` ` It 's wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	True	True	His gray clothes and jerky , zigzag , irregular progress made him unlike some huge moth himself	True	True	neutral
when she did it was love that she would talk about , and she would have let me talk about it if she could have stopped it	True	True	"I do like it , Dr. WatsonI tell you straight , sir , that I do like it . """	True	True	neutral
he is out in a quarter of an hour	True	True	He returned .	True	True	neutral
it was a delusion	True	True	it can be more	True	True	neutral
we have already fathomed	True	True	"I had idea that you had found my occasional retreat , still less that you were inside it , until I was within twenty paces of the door . """	True	True	neutral
I have inadvertently	True	True	you told it to us	True	True	neutral
But one word shall they have from me , and I bind you to secrecy also , Dr. Watson .	True	True	"I told you in London , Watson , and I tell you now again , that we have had a foeman more worthy of our steel . """	True	True	neutral
I do think that I am a coward , Watson , but that sound seemed to freeze my very blood .	True	True	you can come	True	True	neutral
mortal eyes have seen	True	True	I am entitled	True	True	neutral
"` ` It is useless for us to pretend that we do know you , Dr. Watson , """	True	True	it convenient to return before evening	True	True	neutral
Learn then from this story to fear the fruits of the past , but rather to be circumspect in the future , that those foul passions whereby our family has suffered so grievously may again be loosed to our undoing .	True	True	it seemed to me that the tone of his greeting was altogether a cordial one	True	True	neutral
we came to examine his securities	True	True	empty one was in sight	True	True	neutral
"` ` I do say now that he is a crazy man , "" said Sir Henry ; ` ` I can forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	True	True	I do think that I am a coward , Watson	True	True	neutral
you know	True	True	anxiety and exposure have driven him off his head	True	True	neutral
"No one can say so more confidently than I . """	True	True	It was a pure bloodhound	True	True	neutral
I had idea that so gigantic a sum was involved	True	True	It would be as well if you could make it convenient to return before evening .	True	True	neutral
I would do exactly what he wanted all day and ask questions	True	True	I had been told	True	True	neutral
"But we have to prove all this , and we are in a position to do it . """	True	True	it was that of a man or a woman	True	True	neutral
He had followed me himself	True	True	` ` I was doing harm , sir .	True	True	neutral
He returned	True	True	Evil indeed is the man who has one woman to mourn him .	True	True	neutral
I had often suffered under it , but more so than during that long drive in the darkness .	True	True	It has been a satisfactory case	True	True	neutral
` ` We dare take the chance of his being overtaken before he can reach us .	True	True	"The Hall and the moor are very pleasant places when one is alone . """	True	True	neutral
But as to my uncle 's deathwell , it all seems boiling up in my head , and I can get it clear yet .	True	True	It can much matter to him whether it is early or late for the orchids	True	True	neutral
I am entitled	True	True	he shot in his own warren	True	True	neutral
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should leave you , and especially that you should go alone upon the moor . """	True	True	I fear that even he has quite grasped the significance of this sentence	True	True	neutral
