sent_1	sent_2	label	positive_1	positive_2	subsequence_1	subsequence_2
most early Christian songs were from the Psalms	People who study the history of music and religion no longer believe this , because most early Christian songs were from the Psalms , and Jews did sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	neutral	True	True	True	True
People who study the history of music and religion no longer believe this , because most early Christian songs were from the Psalms , and Jews did sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	most early Christian songs were from the Psalms	neutral	True	True	True	True
People who study the history of music and religion no longer believe this , because most early Christian songs were not from the Psalms , and Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	most early Christian songs were not from the Psalms	neutral	False	False	False	True
most early Christian songs were not from the Psalms	People who study the history of music and religion no longer believe this , because most early Christian songs were not from the Psalms , and Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	neutral	False	False	True	False
most early Christian songs were not from the Psalms	Jews did sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70	neutral	False	True	True	True
Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70	Jews did sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70	neutral	False	True	True	True
People who study the history of music and religion no longer believe this , because most early Christian songs were not from the Psalms , and Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	most early Christian songs were from the Psalms	neutral	False	True	False	True
People who study the history of music and religion no longer believe this , because most early Christian songs were from the Psalms , and Jews did sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	People who study the history of music and religion no longer believe this , because most early Christian songs were not from the Psalms , and Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	neutral	True	False	True	False
most early Christian songs were from the Psalms	most early Christian songs were not from the Psalms	neutral	True	False	True	True
most early Christian songs were from the Psalms	People who study the history of music and religion no longer believe this , because most early Christian songs were not from the Psalms , and Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	neutral	True	False	True	False
Jews did sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70	Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70	neutral	True	False	True	True
observers can outrun this timeless image	it had feet to land	neutral	True	True	True	True
it had feet to land	observers can outrun this timeless image	neutral	True	True	True	True
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	neutral	False	False	False	False
They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	neutral	False	False	False	False
Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	neutral	False	False	False	False
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	neutral	False	False	False	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	neutral	False	False	False	False
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	neutral	False	False	False	False
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	neutral	False	False	False	False
"It can connect wirelessly to any computer that has the Apple program "" iTunes "" on it ."	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	neutral	False	False	False	False
Kittens play endlessly .	They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	neutral	False	False	False	False
The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	This symbolizes the power of lust to blow one about aimlessly .	neutral	False	False	False	False
Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	Kittens play endlessly .	neutral	False	False	False	False
This symbolizes the power of lust to blow one about aimlessly .	And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	neutral	False	False	False	False
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image	neutral	False	True	False	True
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	it had feet to land	neutral	False	True	False	True
They surged effortlessly past the palace guards and thundered into the queen 's bedroom mere minutes after she fled .	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image .	neutral	False	True	False	True
Frieza defeats Nail effortlessly , leaving him to die after discovering that dende has ran to the Z-fighters to tell Krillin and Gohan how to use the dragon balls .	And the Bird of Paradise must have flown around the ark endlessly , because it had feet to land .	neutral	False	True	False	True
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	observers can outrun this timeless image	neutral	False	True	False	True
it had feet to land	This symbolizes the power of lust to blow one about aimlessly .	neutral	True	False	True	False
observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image	Kittens play endlessly .	neutral	True	False	True	False
observers can outrun this timeless image	The controllers of the PlayStation 2 and PlayStation 3 are the same but the PlayStation 3 is used wirelessly .	neutral	True	False	True	False
And the Bird of Paradise must have flown around the ark endlessly , because it had feet to land .	to decode this image and react by moving within 3D space , yet can never outrun this timeless image	neutral	True	False	True	True
The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can outrun this timeless image .	Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	neutral	True	False	True	False
it had feet to land	The electromagnetic field 's messenger particles , photons , carry an image timelessly across the universe while observers within this field have enough flow through time to decode this image and react by moving within 3D space , yet can never outrun this timeless image .	neutral	True	False	True	False
"Pray do think it a liberty if I give you a word of friendly warning . """	He is particularly intelligent	neutral	True	True	True	True
` ` It will be possible for you to present in that compact form which is dear to your heart .	I gave a thought to my toilet .	neutral	True	True	True	True
I have yet heard what has happened to Mr. Garcia	"It has been a long evening , and I do think my nerve is as good as it was . """	neutral	True	True	True	True
My mind is like a racing engine , tearing itself to pieces because it is connected up with the work for which it was built .	I am convinced that you are on the right lines	neutral	True	True	True	True
I give you a word of friendly warning	it is connected up with the work for which it was built	neutral	True	True	True	True
Murillo went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness	there are some insuperable difficulties	neutral	True	True	True	True
I have doubt that there were times when my life hung in the balance	their abstraction was the motive of the crime	neutral	True	True	True	True
Henderson by some chance walks alone	I sha forget the face at the carriage window as I led her away .	neutral	True	True	True	True
` Our difficulties are over	There 's link between the two save for Henderson 's own servant , who serves the family 's meals	neutral	True	True	True	True
you had a nerve in your body	Well , sir , it did appear to be a matter which concerned the police	neutral	True	True	True	True
they had done	his victims still cry for vengeance	neutral	True	True	True	True
Private detectives are a class with whom I have absolutely sympathy	I do quite understand	neutral	True	True	True	True
I did know you were a good man	it was one it was really more than twelve	neutral	True	True	True	True
But this theory would work .	The dinner itself was neither well served nor well cooked , and the gloomy presence of the taciturn servant did help to enliven us .	neutral	True	True	True	True
There are better instruments than discharged servants with a grievance , and I was lucky eugh to find one .	you to present in that compact form which is dear to your heart	neutral	True	True	True	True
he made remark as to the contents	She would have said ` Godspeed ' had it been so .	neutral	True	True	True	True
We could doubt that justice , if belated , had come at last	I did say so	neutral	True	True	True	True
you have objection to my collaborating with you	justice can be gained	neutral	True	True	True	True
She would have said ` Godspeed ' had it been so .	you were a good man	neutral	True	True	True	True
"` ` But I beg to point out that I have not yet heard what has happened to Mr. Garcia , what has become of his household . """	our investigation should have so adventurous an ending	neutral	True	True	True	True
I see charm in the man .	the gloomy presence of the taciturn servant did help to enliven us	neutral	True	True	True	True
the bed had been slept in	it was built	neutral	True	True	True	True
It was proved that the deceased gentleman may have had valuables in the house and that their abstraction was the motive of the crime	I have yet heard what has happened to Mr. Garcia , nor what has become of his household	neutral	True	True	True	True
` ` I have all my facts yet , but I do think there are some insuperable difficulties .	Garcia did return by a certain hour	neutral	True	True	True	True
I should have thought you had a nerve in your body	I have doubt that there were times when my life hung in the balance .	neutral	True	True	True	True
It is a lonely corner , and there is house within a quarter of a mile of the spot .	"Pray do think it a liberty if I give you a word of friendly warning . """	neutral	True	True	True	True
` I did say so , Mr. Holmes	us say more about it	neutral	True	True	True	True
he would make move so long as he thought he was in some danger	he was in some danger	neutral	True	True	True	True
` ` I did say so , Mr. Holmes ; I did say so .	He is particularly intelligenta man likely to be congenial to a quick witted Latin .	neutral	True	True	True	True
he thought he was in some danger	` ` I ' m sure it must look very bad , Mr. Holmes , and I am aware that in my whole life such a thing has happened before .	neutral	True	True	True	True
there were times when my life hung in the balance	Every effort was made by Inspector Baynes , who has the case in hand , to ascertain the hiding place of the fugitives , and he had good reason to believe that they had gone far but were lurking in some retreat which had been already prepared .	neutral	True	True	True	True
"Now , sir , I suggest that you take tice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . """	I am suspected	neutral	True	True	True	True
You do mean	Our difficulties are over	neutral	True	True	True	True
a constable on duty should thank God that he could not lay his hands upon him	I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should had broken away .	neutral	True	True	True	True
your disturbance dates from the moment of your waking	I have all my facts yet	neutral	True	True	True	True
it is connected up with the work for which it was built	I led her away	neutral	True	True	True	True
"Private detectives are a class with whom I have absolutely sympathy , but ne the less , having heard your name"""	"` ` Let us say more about it . """	neutral	True	True	True	True
I call it luck , but it would have come my way had I been looking out for it .	I did say so	neutral	True	True	True	True
their abstraction was the motive of the crime	Garcia did return by a certain hour	neutral	True	True	True	True
You can imagine my surprise when I found that there was one there .	there were times when my life hung in the balance	neutral	True	True	True	True
the bed had been slept in	There was response .	neutral	True	True	True	True
I have not yet heard what has happened to Mr. Garcia , what has become of his household	I do pretend to understand it all yet , but very curious people anyway .	neutral	True	True	True	True
` ` I did say so , Mr. Holmes ; I did say so .	` I did say so , Mr. Holmes	neutral	True	True	True	True
I led her away	me look up	neutral	True	True	True	True
` ` On the face of it the case is a very complex one , though it certainly presents some novel and interesting features .	the case is a very complex one	neutral	True	True	True	True
they had done	I gave a thought to my toilet	neutral	True	True	True	True
It is equally certain that this house can be more than a mile or two from Oxshott , since Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock .	` ` On the face of it the case is a very complex one , though it certainly presents some novel and interesting features .	neutral	True	True	True	True
` ` We can imagine that in the confusion of flight something precious , something which he could bear to part with , had been left behind .	yet , when you have heard the facts , you must admit that I could leave it where it was	neutral	True	True	True	True
There are better instruments than discharged servants with a grievance	he thought he was in some danger	neutral	True	True	True	True
I gave a thought to my toilet .	I do know what made me look up	neutral	True	True	True	True
they had gone far	I do think there are some insuperable difficulties	neutral	True	True	True	True
me look up	I think , Watson , a brandy and soda would do him harm .	neutral	True	True	True	True
they are human	he made remark as to the contents	neutral	True	True	True	True
such a thing has happened before	there is peace in life while his victims still cry for vengeance	neutral	True	True	True	True
He is particularly intelligent	he could lay his hands upon him	neutral	True	True	True	True
Miss Burnet has been seen by some human eye since the night of the murder	I can make the man out	neutral	True	True	True	True
they murdered him	Private detectives are a class with whom I have absolutely sympathy	neutral	True	True	True	True
I have all my facts yet	there is house within a quarter of a mile of the spot	neutral	True	True	True	True
How they murdered him I do know save that it was Murillo 's hand who struck him down	it was	neutral	True	True	True	True
I tell you , sir , I could not move a finger , get my breath , till it whisked away and was gone .	there is other way in the world by which justice can be gained	neutral	True	True	True	True
There was response .	` Our difficulties are over	neutral	True	True	True	True
I sha forget the face at the carriage window as I led her away .	Miss Burnet has been seen by some human eye since the night of the murder	neutral	True	True	True	True
