sent_1	sent_2	label	case	cue	common_cue
"['""', 'Well', ',', 'we', 'do', ""not"", 'seem', 'to', 'have', 'much', 'material', 'to', 'help', 'us', '.']"	' we ' , ' do ' , ' seem ' , ' to ' , ' have ' , ' much ' , ' material ' , ' to ' , ' help ' , ' us ' ,	entailment	c: a S clause	"""not"","	False
"['""', 'There', 'is', 'nothing', 'here', ',', """""", 'said', 'he', '.']"	' There ' , ' is ' , ' here ' ,	entailment	c: a S clause	'nothing',	False
"['""', 'There', 'is', 'nothing', 'here', ',', """""", 'said', 'he', '.']"	"[ ' ` ` ' , ' There ' , ' is ' , ' nothing ' , ' here ' , ' , ' , "" "" "" , ' said ' , ' he ' , ' . ' ]"	entailment	c: a S clause	'nothing',	False
['This', 'person', 'is', 'a-', 'lone', 'and', 'can', 'not', 'be', 'a-', 'pproached', 'by', 'letter', 'without', 'a', 'breach', 'of', 'that', 'ab-', 'solute', 'secrecy', 'which', 'is', 'desired', '.']	' is ' , ' desired '	entailment	c: a S clause	'without',	False
['He', 'lay', 'in', 'the', 'roadway', 'so', 'shaken', 'in', 'his', 'wits', 'that', 'he', 'never', 'saw', 'what', 'became', 'of', 'the', 'cab', '.']	' he ' , ' saw ' , ' what ' , ' became ' , ' of ' , ' the ' , ' cab ' ,	entailment	c: a S clause	'never',	False
"['""', 'I', 'do', ""not"", 'see', 'how', 'that', 'is', 'to', 'be', 'managed', ',', 'un-', 'less', 'you', 'break', 'in', 'the', 'door', '.']"	' I ' , ' do ' , ' see ' , ' how ' , ' that ' , ' is ' , ' to ' , ' be ' , ' managed ' ,	entailment	c: a S clause	"""not"","	False
['The', 'man', 'can', 'not', 'come', 'near', 'the', 'woman', ',', 'or', 'he', 'will', 'guide', 'their', 'enemies', 'to', 'her', '.']	come '	entailment	c: a S clause	'not',	False
['There', 'is', 'neither', 'money', 'nor', 'credit', 'in', 'it', ',', 'and', 'yet', 'one', 'would', 'wish', 'to', 'tidy', 'it', 'up', '.']	' There ' , ' is ' , ' money ' , ' credit '	entailment	c: a S clause	'neither',-'nor',	False
"['""', 'I', ""'ll"", 'do', 'you', 'this', 'justice', ',', 'Mr.', 'Holmes', ',', 'that', 'I', 'was', 'never', 'in', 'a', 'case', 'yet', 'that', 'I', 'did', ""not"", 'feel', 'stronger', 'for', 'having', 'you', 'on', 'my', 'side', '.']"	"' I ' , ' was ' , ' in ' , ' a ' , ' case ' , ' yet ' , ' that ' , ' I ' , ' did ' , "" not "" , ' feel ' , ' stronger ' , ' for ' , ' having ' , ' you ' , ' on ' , ' my ' , ' side ' ,"	entailment	c: a S clause	'never',	False
['We', 'KNOW', 'he', 'is', 'at', 'the', 'bottom', 'of', 'fifty', 'murders', ',', 'and', 'yet', 'we', 'have', 'nothing', 'positive', 'we', 'can', 'take', 'him', 'on', '.']	' we ' , ' have ' , ' positive ' , ' we ' , ' can ' , ' take ' , ' him ' , ' on ' ,	entailment	c: a S clause	'nothing',	False
"['""', 'But', 'we', 'have', 'no', 'warrant', 'for', 'his', 'a-', 'rrest', '.', """"""]"	' we ' , ' have ' , ' warrant ' , ' for ' , ' his ' , ' a' , ' rrest ' ,	entailment	c: a S clause	'no',	False
"['""', 'He', 'was', 'a', 'devil', 'and', 'a', 'monster', ',', 'and', 'there', 'can', 'be', 'no', 'judge', 'in', 'the', 'world', 'who', 'would', 'punish', 'my', 'husband', 'for', 'having', 'killed', 'him', '.', """"""]"	' be '	entailment	c: a S clause	'no',	False
"['""', 'He', 'was', 'a', 'devil', 'and', 'a', 'monster', ',', 'and', 'there', 'can', 'be', 'no', 'judge', 'in', 'the', 'world', 'who', 'would', 'punish', 'my', 'husband', 'for', 'having', 'killed', 'him', '.', """"""]"	' killed '	entailment	c: a S clause	'no',	False
['Gennaro', 'had', 'not', 'yet', 'returned', 'when', 'he', 'came', '.']	[ ' Gennaro ' , ' had ' , ' yet ' , ' returned ' , ' when ' , ' he ' , ' came ' ,	entailment	c: a S clause	'not',	False
"['""', 'If', 'what', 'she', 'says', 'is', 'corroborated', ',', 'I', 'do', 'not', 'think', 'she', 'or', 'her', 'husband', 'has', 'much', 'to', 'fear', '.']"	' I ' , ' do ' , ' think ' , ' she ' , ' or ' , ' her ' , ' husband ' , ' has ' , ' much ' , ' to ' , ' fear ' ,	entailment	c: a S clause	'not',	False
