sent_1	positive_1	subsequence_1	sent_2	positive_2	subsequence_2	label
` ` Well , we ' ve lived there fifteen years and such happenings came before .	True	True	I do know what your British point of view may be	True	True	neutral
New York can help us to keep him	True	True	I can sleep for fright	True	True	neutral
He pays you well , and if he chooses to lie concealed it is direct business of yours .	True	True	the person who came back was the person who went out	True	True	neutral
he can slip us	True	True	` ` But he would cease talking of ityour kindness , sir , and the way in which you brought light into the darkness .	True	True	neutral
I did feel stronger for having you on my side	True	True	I do myself know where he lived , or how .	True	True	neutral
would safeguard his life for the future	True	True	He gave name	True	True	neutral
he can communicate with her direct	True	True	"But if you think that he has acted from motives which are criminal , and which he would wish to have known , then you can serve him better than by telling us the whole story . """	True	True	neutral
I do think she or her husband has much to fear	True	True	you are or what you are	True	True	neutral
He gave name	True	True	he was one of them	True	True	neutral
I was in a case yet that I did not feel stronger for having you on my side	True	True	the person who came back was the person who went out	True	True	neutral
they are	True	True	The mysterious one could print it	True	True	neutral
he had gone ten paces down the road when two men came up behind him , threw a coat over his head , and bundled him into a cab that was beside the curb	True	True	the affair will grow more intelligible	True	True	neutral
they could fail to catch the eye	True	True	there can be judge in the world who would punish my husband for having killed him	True	True	neutral
I , who knew him so well , could read in his face some emotion which I had seen there before	True	True	he chooses to lie concealed	True	True	neutral
you can see him	True	True	I did foresee that we should find a woman , and no ordinary woman	True	True	neutral
He lay in the roadway so shaken in his wits that he saw what became of the cab .	True	True	New York can help us to keep him	True	True	neutral
The man can come near the woman	True	True	Mr. Gregson and I ran him to ground in that big tenement house , and there 's only one door , so he can slip us .	True	True	neutral
I was in his presence	True	True	he saw what became of the cab	True	True	neutral
I get rest from it	True	True	I was in a case yet that I did not feel stronger for having you on my side	True	True	neutral
We have excuse for an intrusion upon his privacy until we have some reason to think that there is a guilty reason for it .	True	True	"But if you think that he has acted from motives which are criminal , and which he would wish to have known , then you can serve him better than by telling us the whole story . """	True	True	neutral
"But if you think that he has acted from motives which are criminal , and which he would wish to have known , then you can serve him better than by telling us the whole story . """	True	True	` ` If what she says is corroborated , I do think she or her husband has much to fear .	True	True	neutral
You are uneasy , as I understand , because your new lodger remains in his rooms and you can see him .	True	True	he had gone ten paces down the road when two men came up behind him , threw a coat over his head , and bundled him into a cab that was beside the curb	True	True	neutral
This person can be approached by letter without a breach of that absolute secrecy which is desired	True	True	` Surely Jimmy will break his mother 's heart 'that appears to be irrelevant .	True	True	neutral
Our official detectives may blunder in that of courage	True	True	he was to be left entirely to himself and , upon some excuse , to be disturbed	True	True	neutral
I wo lose sight of it	True	True	The mysterious one could understand English , even if he could print it .	True	True	neutral
There seems other way	True	True	would safeguard his life for the future	True	True	neutral
Well , this morning he had gone ten paces down the road when two men came up behind him , threw a coat over his head , and bundled him into a cab that was beside the curb .	True	True	"` ` And has had letters or callers ? """	True	True	neutral
The man can come near the woman	True	True	you are	True	True	neutral
I am very clear yet who you are or what you are	True	True	"If we wait a little , Watson , I do doubt that the affair will grow more intelligible . """	True	True	neutral
he is a troublesome lodger , though he is certainly an unusual one	True	True	I , whose time is of some value , should interfere in the matter	True	True	neutral
you are or what you are	True	True	it is ordinary love escapade	True	True	neutral
There seems other way	True	True	You do object to tobacco	True	True	neutral
I did foresee that we should find a woman , and no ordinary woman	True	True	"What I did t foresee is that we should find a woman , and ordinary woman , Watson . """	True	True	neutral
our start had given us in arranging for a refuge for me in such a fashion that possible danger could reach me	True	True	I do understand how you know these things	True	True	neutral
You do object to tobacco , I take it ?	True	True	if I were your lodger you often would see me for weeks on end	True	True	neutral
he had given our benefactor full warning of this danger	True	True	you can see him	True	True	neutral
` ` I 'll do you this justice , Mr. Holmes , that I was in a case yet that I did not feel stronger for having you on my side .	True	True	her presence was even known to the landlady who supplies her with food	True	True	neutral
once within its rule escape was possible	True	True	Education ends	True	True	neutral
I was never in a case yet that I did feel stronger for having you on my side	True	True	my husband and I were on our way to London before he had given our benefactor full warning of this danger , and had also left such information for the police as would safeguard his life for the future	True	True	neutral
Gennaro had yet returned when he came	True	True	This person can be approached by letter without a breach of that absolute secrecy which is desired	True	True	neutral
"But since it is safe in your hands I see object in continuing this business . """	True	True	me to bar the door	True	True	neutral
Well , Mrs. Warren , I can see that you have some particular cause for uneasiness	True	True	"But since it is safe in your hands I see object in continuing this business . """	True	True	neutral
the only time the lodger went out was immediately after his taking the rooms	True	True	Gennaro had yet returned when he came	True	True	neutral
I can imagine that the word was taken out of a dictionary , which would give the noun but the plural .	True	True	the only time the lodger went out was immediately after his taking the rooms	True	True	neutral
I did not feel stronger for having you on my side	True	True	It is an easy problem	True	True	neutral
possible danger could reach me	True	True	I did not feel stronger for having you on my side	True	True	neutral
we have some reason to think that there is a guilty reason for it	True	True	you can serve him better than by telling us the whole story	True	True	neutral
"What I did foresee is that we should find a woman , and no ordinary woman , Watson . """	True	True	I can make head or tail of	True	True	neutral
I can make head or tail of	True	True	there is a guilty reason for it	True	True	neutral
"` ` He gave name ? """	True	True	I can imagine that the word was taken out of a dictionary , which would give the noun but the plural .	True	True	neutral
The mysterious one could print it	True	True	"` ` I do understand how you know these things , "" she said ."	True	True	neutral
that is to be managed	True	True	the word was taken out of a dictionary , which would give the noun but the plural	True	True	neutral
he is out at his work all day , while I get rest from it	True	True	he chooses to lie concealed	True	True	neutral
I do know what your British point of view may be	True	True	he had given our benefactor full warning of this danger	True	True	neutral
you know these things	True	True	That can be all , Watson ?	True	True	neutral
` ` I 'll do you this justice , Mr. Holmes , that I was never in a case yet that I did feel stronger for having you on my side .	True	True	You have received your rent , and he is a troublesome lodger , though he is certainly an unusual one .	True	True	neutral
"But if you think that he has acted from motives which are criminal , and which he would wish to have known , then you can serve him better than by telling us the whole story . """	True	True	I , whose time is of some value , should interfere in the matter	True	True	neutral
they could fail to catch the eye	True	True	Gennaro said nothing , but I , who knew him so well , could read in his face some emotion which I had seen there before .	True	True	neutral
